id,audience,content,during,hours,price,purpose,title,today
13, 適合對象 專為使用Citrix SD-WAN的IT專業人員所設計，幾乎沒有以前的SD-WAN體驗基礎。適合對象包括有興趣學習如何部署或管理Citrix SD-WAN的管理員、工程師和架構師。  , Citrix SD-WAN簡介和概述 •      CitrixSD-WAN功能 •      平台和版本 •      初始化設定 Citrix SD-WAN部署模式與設定 •      部署模式選項 •      多區域部署 •      接口組 •      虛擬IP地址 •      WAN連接 •      變更管理 •      升級部署 •      零接觸部署選項 Citrix SD-WAN設定和變更管理 •      設備架構 •      SD-WAN管理架構選項 •      包處理和體系結構 •      SD-WAN服務 Citrix SD-WAN安全注意事項 •      Citrix SD-WAN實體安全 •      設備安全注意事項 •      網絡安全 •      狀態防火牆注意事項 •      防火牆規則和區域 •      安全維護與管理 Citrix SD-WAN服務質量(QoS) •      Citrix SD-WAN服務質量(QoS) •      服務類和規則 •      應用服務質量 •      SD-WAN傳輸模式 •      頻寬部署 •      深度封包檢測 Citrix SD-WAN 最佳化 •      動態路由 •      IPsec終止 •      MPLS佇列 •      路徑狀態靈敏度控制 •      虛擬路由器容錯通訊協定支援  ,['2020/10/05 ~ 2020/10/07 每週一二三'],時數：24小時,"費用：NT$ 45,000",學習各種可用的SD-WAN實作和部署模式，以及如何選擇適合您組織的模式。瀏覽SD-WAN的深層架構，了解如何區分各種元件。了解SD-WAN的不同元素如何結合在一起，以提供更好的網路體驗。課程主題包括：服務質量(Qos)、服務類別、規則、動態路由、DHCP服務，零接觸部署和可用的SD-WAN管理工具。本課程提供Hands-on LABs。 ,部署及管理Citrix SD-WAN基礎知識,20200712
14, 適合對象  SOC分析師(第一級和第二級) 網路和安全管理員 網路和安全工程師 網路防禦分析師，網路防禦技術人員 網路安全運營商以及處理網路安全操作的相關安全專業人員 網路安全分析師 任何想成為SOC分析師的人   ," 安全運營和管理(Security Operations and Management) 了解網路威脅，IoC和攻擊方法(Understanding Cyber Threats,IoCs, and Attack Methodology) 事件、事件和日誌記錄(Incidents, Events, and Logging) 危機事件偵測與安全訊息及事件管理的(SIEM) (Incident Detection with Security Information and Event Management(SIEM)) 利用威脅情資增強事件檢測能力(Enhanced Incident Detection with Threat Intelligence) 危機處理程序及應對方法(Incident Response)  ","['2020/08/12 ~ 2020/08/14 每週三四五', '2020/10/05 ~ 2020/10/07 每週一二三', '2020/12/07 ~ 2020/12/09 每週一二三']",時數：24小時,"費用：NT$ 39,000",隨著資訊安全領域的不斷擴展，SOC團隊需要提供高質量的IT安全服務，以主動檢測潛在的網路威脅與攻擊事件並快速回應。一個熟練的SOC分析師，可以作為第一線防禦者，提供警告給其他專業人員有關未來與現在的網路相關威脅。EC Council認證安全運營中心(SOC)分析師(CSA)是專為現有和即將加入安全運營中心(SOC)的一級和二級SOC分析師而設計的課程，目的在熟練地執行入門級和中級SOC任務操作。通過業界最有經驗的講師的指導，幫助學員了解SOC的日常任務及所需的技術與技能，為SOC團隊提供即時的支援。 ,EC-Council安全運營中心(SOC)分析師認證課程,20200712
15, 適合對象  想要了解PostgreSQL基本管理功能的資料庫管理人員 想要了解PostgreSQL基本管理功能的程式設計人員 想要了解如何將資料庫轉換為PostgreSQL的IT管理人員 欲取得PostgreSQL Certified Associate認證者   , PostgreSQL系統架構(PostgreSQL System Architecture) 如何安裝PostgreSQL(Installation) 如何設置PostgreSQL(Configuration) 如何建立與管理PostgreSQL資料庫(Creating and Managing Databases) 使用PSQL執行工作(Introduction to PSQL) 開發管理工具介紹(pgAdmin III) 如何強化PostgreSQL資料庫的安全性(Security basics) PostgreSQL上的第一支程式(SQL) 資料庫備份與復原(Backup and Recovery) 時間點資料還原(Point-in Time Recovery) PostgreSQL的日常管理維護(Routine Maintenance) 如何查詢PostgreSQL的資料字典(Postgres Data Dictionary) 如何遷移資料到PostgreSQL(Moving Data)  ,['2020/09/28 ~ 2020/09/30 每週一二三'],時數：18小時,"費用：NT$ 38,000",本課程為PostgreSQL資料庫管理的入門課程，可以學習到管理PostgreSQL資料庫所需的基礎知識與技術。在本課程中，您將學習如何安裝及維護資料庫，了解PostgreSQL資料庫的基本架構，並知道這些結構的互動與操作原理。學習本課程能更正確、有效率地管理PostgreSQL資料庫，了解如何在PostgreSQL資料庫上進行程式開發、查詢資料庫資料字典、設定資料庫安全與使用者管理，以及了解如何進行資料庫備份與復原的操作。 本課程除了介紹PostgreSQL資料庫的相關知識外，並搭配豐富的實作練習，讓您可以動手實作，以達到最佳的學習效果。同時這也是取得PostgreSQL Associate認證(PostgreSQL Certified Associate)的入門課程。 ,PostgreSQL資料庫基礎管理,20200712
16, 適合對象  對資訊安全工作有興趣者 欲取得SSCP®認證資格者 欲充實本身資安技術能力的IT人員   ,"第一章 Introducing Security and Aligning Asset Management to Risk Management介紹安全及符合風險管理之資產管理  Understand Security Concepts認識安全觀念 Participate in Asset Management參與資產管理 Understand the Risk Management Process認識風險管理流程 Understand the Risk Management Process—Treatment認識風險管理流程-風險處置  第二章 Understanding Risk Management Options and the Use of Access Controls to Protect Assets認識管理風險之選項並使用存取控制保護資產  Document, Implement, and Maintain Functional Security Controls 記錄、建置與維護功能性之安全控制措施 Implement Access Controls—Access Control Models建置存取控制-存取控制模型 Participate in the Identity Management Lifecycle參與身份識別管理生命週期 Implement and Maintain Authentication Methods—Identity and Access Management建置與維護鑑別方式-身份識別與存取管理  第三章 Cryptography密碼學  Understand the Fundamental Concepts of Cryptography認識密碼學基礎觀念 Understand the Fundamental Concepts of Cryptography—Encryption Methods認識密碼學基礎觀念-加密方式 Understand Public Key Infrastructure (PKI) Systems認識公開金鑰基礎設施系統 Understand Fundamental Concepts of Cryptography—Key Management認識密碼學基礎觀念-金鑰管理 Understand and Support Secure Protocols認識與支援安全協定  第四章 Securing Software, Using Security Protocols and Securing Remote Users保護軟體、使用安全協定並保護遠端用戶  Securing Software保護軟體 Identify and Analyze Malicious Code and Activity識別與分析惡意程式碼與活動 Implement and Operate Endpoint Device Security建置與操作端點裝置安全 Operate and Configure Cloud Security操作與設定雲端安全  第五章 Networking and the Role of the Hypervisor網路與網管  Understand Networking and the Role of the Hypervisor認識網路與網管 Understand Key Networking Components—Ports and Protocols認識網路關鍵元件–通訊埠與協定 Understand Network Attacks and Countermeasures認識網路攻擊與對策 Manage Network Security管理網路安全  第六章 Wireless Networking, Telecoms, Cloud Configuration, Monitoring Systems and Endpoint Security 無線網路、通信、雲端組態、監控系統及端點安全  Operate and Configure Cloud Security and Virtualization操作與設定雲端安全及虛擬化 Operate and Configure Wireless Technologies操作與設定無線技術 Manage Network Access Controls—POTS and PBX 管理網路存取控制-POTS與PBX  第七章 Security Testing and Incident Handling安全測試與事故處置  Operate and Maintain Monitoring Systems操作與維護監控系統 Perform Security Assessment Activities執行安全評估活動 Support Incident Lifecycle支援事故生命週期 Understand and Support the Business Continuity Plan(BCP)and Disaster Recovery Plan(DRP)Activities認識與支援持續營運計畫及災難復原計畫活動 Understand and Support Forensic Investigations認識及支援鑑識調查  第八章 Physical Security, Managing Change and Personnel Training 實體安全、異動管理與人員訓練  Participate in Change Management參與異動管理 Participate in Physical Security Operations參與實體安全作業 Participate in Security Awareness Training參與安全認知訓練  ","['2020/08/31 ~ 2020/09/04 每週一二三四五', '2020/10/24 ~ 2020/11/21 每週六', '2020/11/23 ~ 2020/11/27 每週一二三四五']",時數：40小時,"費用：NT$ 40,000",*此課程為「行政院國家資通安全會報」認可之資通安全專業證照 對於有志從事資訊安全工作者，該如何為跨入資安領域並做好準備，是首先必須要面對的課題；對於在資安領域中默默耕耘的資安技術者而言，該如何證明自身的專業技術能力，更是一大課題；再者身為企業內的員工該如何與資訊技術同僚合力實施企業的資安政策，又是另一項考驗！ SSCP®資安專業人員認證(Systems Security Certified Practitioner)是一張針對企業組織中負責網路及系統管理的相關人員，擁有資安技術能力且具實務經驗者所設立的證照。取得SSCP®認證，可確認受測者在資安技術領域中具有一定的專業實務能力。 有志於跨入資安領域、希望提升資安知識的資訊人員，取得相關證照是最快速的途徑之一；然而如何在取得證照之前為自己的專業技術能力做好準備，是值得深思的重要問題。現今大多資安相關證照無不與特定的產品相關連，欲取得該證照，受測者必須熟悉其產品進而參加認證考試取得證照。但除了證明受測者對特定產品有一定的熟悉程度外，其實對自身專業能力的展現，並無絕對助益。 為此，精誠恆逸特別與SSCP®發照單位(ISC)2合作，引進(ISC)2官方SSCP CBK®研習班課程。課程中將針對企業資安實務所需SSCP®認證所測驗的七大領域進行介紹。對於有志於從事資安工作，以及希望提升資安知識的資訊科技工作者而言，本課程可以做為一窺資安領域的最佳途徑。本課程由(ISC)2認證講師帶領，介紹資安相關技術與觀念，為您從事資安相關工作做好準備。 ,SSCP資安專業人員認證課程,20200712
17, 適合對象 1.中高階營運相關主管 2.資訊長或企業資訊部門的主管 3.即將晉升管理工作之IT專業人員 4.資深資訊工程師或網路系統管理員 5.資訊服務業之從業人員 6.對ITIL有興趣或欲取得ITIL認證者 7.對實際建置ITIL流程有興趣者  ,"1.ITIL®4基礎 1-1 ITIL®4 概述(Overview of ITIL®4) 1-1-1 IT服務管理簡介(Introduction to IT Service Management) 1-1-2 ITIL®4 簡介(Introduction to ITIL®4) 1-1-3 ITIL®4 的結構與效益(Structure and Benefits of ITIL®4) 1-2 服務管理：關鍵概念(Service Management: Key Concept) 1-2-1 價值與價值共創(Value and Value Co-Creation) 1-2-2 價值：服務，產品和資源(Value: Services, Products, and Resources)  1-2-3 服務關係(Service Relationships) 1-2-4 價值：成果，成本和風險(Value: Outcomes, Costs and Risks) 1-3 指導原則(The Guiding Principles) 1-3-1 界定指導原則(Identifying Guiding Principles) 1-3-2 七項指導原則(The Seven Guiding Principles) 1-3-3 應用指導原則(Applying the Guiding Principles) 1-4 服務管理的四個維度(The Four Dimensions of Service Management) 1-4-1 四個維度(The Four Dimensions) 1-4-2 組織與人員(Organizations and People) 1-4-3 資訊與科技(Information and Technology) 1-4-4 夥伴與供應商(Partners and Suppliers) 1-4-5 價值流與流程(Value Streams and Processes) 1-4-6 外部因素與Pestle模型(External Factors and the Pestle Model) 1-5 服務價值體系(Service Value System)     1-5-1 服務價值體系概述(Overview of Service Value System) 1-5-2 服務價值鏈概述(Overview of the Service Value Chain) 1-6 持續改善(Continual Improvement) 1-6-1 持續改善簡介(Introduction to Continual Improvement) 1-6-2 持續改善模型(The Continual Improvement Model) 1-6-3 持續改善與指導原則的關係(Relationship between Continual Improvement and Guiding Principles) 1-7 ITIL實務概述(Overview of ITIL® Practices) 1-7-1 ITIL實務的目的(Purpose of ITIL® Practices) 1-7-2 持續改善實務(The Continual Improvement Practice) 1-7-3 變更控制實務(The Change Control Practice) 1-7-4 事故管理實務(The Incident Management Practice) 1-7-5 問題管理實務(The Problem Management Practice) 1-7-6 服務請求管理實務(The Service Request Management Practice) 1-7-7 服務台實務(The Service Desk Practice) 1-7-8 服務等級管理實務(The Service Level Management Practice) 1-8 考試準備指南(Exam Preparation Guide)   2.ITIL導入概述 2-1 導入方法簡介 2-2 確定願景目標 2-3 現況評估 2-4 導入規劃 2-5 導入實施 2-6 持續改善 ","['2020/07/18 ~ 2020/07/26 每週六日', '2020/08/17 ~ 2020/08/20 每週一二三四', '2020/09/05 ~ 2020/09/13 每週六日']",時數：28小時,"費用：NT$ 34,000",本課程將輔導您具備通過ITIL® 4 Foundation認證考試的能力，協助您了解ITIL®4基本概念，熟悉ITIL®4內容中專有名詞、資訊服務管理中的角色、過程以及關鍵流程的組成要件。本課程旨在為學員提供對ITIL®4原則的廣泛理解，並學習如何透過ITIL® 4指導改進工作和整個組織的作業。通過分享和使用您學到的知識來領導和指導他人，運用整合的資訊服務管理運作，達成企業目標。 在課程結束時，您將能夠： 1.了解ITIL服務管理的關鍵概念 2.了解ITIL指導原則如何幫助組織採用和調整ITIL服務管理 3.了解ITIL服務管理的四個維度 4.了解ITIL服務價值系統的目的和組成部分，服務價值鏈的活動以及它們如何互連 5.了解持續改善的關鍵概念。 6.了解各種ITIL實踐以及它們如何為價值鏈活動做出貢獻 ,ITIL® 4 Foundation認證課程,20200712
18, 適合對象  商業技術主管 政府技術幕僚 全端工程師(Full Stack Developer)   , 掌握區塊鏈技術的理論和技術基礎 了解去中心化(decentralization)的概念，其影響以及與區塊鏈技術的關係 了解區塊鏈開發和實現的基本技術原則 了解比特幣和其他加密貨幣背後的區塊鏈技術運作機制 透過實際範例了解加密技術如何用於數據保護 了解智能合約(smart contracts)的理論基礎，以及如何使用Solidity和相關開發框架，在以太坊(Ethereum)區塊鏈上開發去中心化的應用程式(DAapp) 研究替代區塊鏈解決方案，包括超級帳本(Hyperledger)、Corda等 了解各行各業中區塊鏈應用的使用案例 探索區塊鏈實現和商業化策略 了解當前業務架構中區塊鏈整合的最佳實務 確定可能的區塊鏈實現對法律方面的影響 預測應用策略採行可能帶來的風險和失敗，並學習採用有效的變更管理和專案管理方法加以避免 探索區塊鏈技術的新研究課題和未來應用範圍  ,"['2020/08/24 ~ 2020/08/28 每週一二三四五', '2020/11/30 ~ 2020/12/04 每週一二三四五']",時數：40小時,"費用：NT$ 56,000",網路傳遞資訊，區塊鏈傳遞價值。區塊鏈是去中心化(decentralization)策略的基石，是一個分散式的資料庫，可以跨多個網路節點進行資料複製，從而實現交易的不可改變性、永久性、透通性和安全的記錄保存。本質上，區塊鏈是一種自我調節(self-regulated)的數據存儲和數據交易驗證系統。 區塊鏈技術是唯一的對等式(peer-to-peer)去中心化網絡系統，用於授權用戶以100%的準確度對交易進行數簽章。區塊鏈在金融、政府、保險、物流、媒體、醫療保健等許多行業中越來越受歡迎，因為它是一個即時價值交換的無邊界網絡系統。 C|BP區塊鏈專家認證課程提供了100%實用的區塊鏈技術及其在現實世界中實現的概述。C|BP區塊鏈專家認證則涵蓋區塊鏈技術中的三大知識和能力領域：開發(Development)、實現(Implementation)以及策略(Strategy)。 講師趨勢文章分享 ,IIB Council區塊鏈專家認證課程,20200712
19, 適合對象 想要建構雲端解決方法(如應用程式與服務等)的Azure開發人員  , 建立、設定、監控以及延展Azure App Service Web Apps 實作Azure functions 使用Azure Blob Storatge開發解決方案 開發使用儲存表的解決方法：使用Cosmos DB與關聯式資料庫，以及Blob儲存體來儲存資料 實作laaS解決方案，在Azure中建立虛擬機(VM)，建立與發行Container Images 實作安全性，了解如何實作身份驗證與授權 實作安全的雲端解決方案，使用KeyVault API管理金鑰與憑證 實作API管理 連接並使用Azure服務，開發一個Azure Service Logic應用，與整合協力廠商服務 使用Azure Event Grid、Azure Event Hubs開發以事件為基礎的解決方案 使用Azure Service Bus與Azure Queue Storage 開發以訊息為基礎的解決方案 監控與最佳化Azure解決方案 使用Azure Cache for Redis設計快取解決方案  ,['2020/09/21 ~ 2020/09/25 每週一二三四五'],時數：35小時,"費用：NT$ 30,000",這門課程主要是讓您了解如何開發Azure的基礎架構，牽涉到開發過程的全部階段，包括從解決方法設計到開發與部署，再到測試與維護。能夠利用Azure做為服務計算的解決方案，並能夠深入了解如何建置Azure平台中的虛擬機(VM)，使用WebJobs建立一個Azure App Service背景任務、實作身份驗證等功能，讓您精通使用Azure工具與技術(包括儲存、安全、計算與通信)來開發應用與服務。 ,Microsoft Azure開發解決方案,20200712
20, 適合對象  具備程式開發與物件導向設計經驗的程式設計師 想要熟悉Swift程式語言的程式設計師 對開發iPhone、iPad軟體有興趣的開發人員   , Xcode開發工具介紹 Swift簡介 Swift基本語法結構 Swift運算子與流程控制 Swift函數（Function） Swift Closures Enumerations Swift Nested Types Protocols Generics Extensions 物件導向 Error Handling Swift與Objective-C整合 Design Patterns：MVC、Delegation、Target-Action iOS Application生命週期簡介  ,['2020/11/24 ~ 2020/11/27 每週二三四五'],時數：28小時,"費用：NT$ 24,000",iPhone與iPad是目前Apple最火紅的行動上網裝置，為了簡化Objective-C與Ｃ語言的複雜度，Apple於2014年推出新的程式語言Swift，讓想進入這個領域的開發者更容易上手。 本課程以循序漸進的方式介紹Xcode工具操作，並逐步說明Swift程式語言的基本語法。課程分成三個階段，第一階段介紹Swift的特性與開發基礎，第二階段了解Swift如何與Objective-C程式整合，第三階段介紹iOS Application生命週期與相關設計模式(Design Patterns)。 ,Swift程式語言,20200712
21, 適合對象  維護MySQL伺服器的資料庫管理人員 設計或使用MySQL資料庫的資料庫開發人員與程式設計師 在工作上和MySQL伺服器或MySQL管理人員，有整合需求的系統管理人   , 課程介紹 效能調校概念說明 效能調校工具介紹 Performance Schema說明 伺服器調校 表格、檔案與日誌的調校 調校InnoDB儲存引擎 綱要設計最佳化 查詢監控 查詢最佳化 最佳化鎖定操作 複製調校 結論  ,['2020/10/19 ~ 2020/10/22 每週一二三四'],時數：24小時,"費用：NT$ 57,300",您需要管理MySQL應用中不斷增加的資料嗎？您想監控與診斷MySQL的疑難雜症並調校其最佳效能嗎？您想運用MySQL針對查詢與索引的效能改進來編寫查詢嗎？您想評估應用的架構，以得到最佳的設計、結構、快取、連線數以及其他影響效能的因素？那麼，此課程便是為您特別設計的。學成後您將具備使用工具監控、評估與調校MySQL效能所需的技能。 ,MySQL效能調校,20200712
22, 適合對象  希望開發遵循Java EE標準之完整企業應用程式及EJB元件的Java技術程式設計師 本課程為EJB 技術專家提供理想環境，協助建構一個整合的開發團隊   , Java EE概論、Java EE模組與元件開發步驟 使用Netbeans開發工具 使用JPA(Java Persistence API)技術存取資料庫 使用EJB(Enterprise Java Bean)技術開發商業邏輯元件 使用JMS(Java Message Service)技術開發非同步商業邏輯元件 使用JAX-WS技術開發SOAP-Based Web Service 使用Servlet技術開發Java Web應用程式 使用JSP(Java Server Pages)技術開發Java Web應用程式 使用JAX-RS技術開發Restful Web Service 使用WebSocket開發Java應用程式 使用JSF(Java Server Faces)技術開發Web應用程式 實踐Java EE安全控管機制  ,"['2020/08/10 ~ 2020/08/14 每週一二三四五', '2020/11/09 ~ 2020/11/13 每週一二三四五']",時數：30小時,"費用：NT$ 71,600",本課程將教導建立Java EE 7應用程式的相關知識。課程內容涵蓋必要的Java EE元件，包括商業元件Enterprise JavaBeans(EJB)、Web元件Servlets與Java Server Pages(JSP) 、Java Server Faces(JSF)、WebSocket、Web Services(JAX-WS、JAX-RS)以及使用這些元件的用戶端等。您將可以從End-to-End分散式商業應用程式開發習題，獲得實用的學習經驗，也將學習如何利用可重複使用的元件建立應用程式，以及如何將應用程式部署到Java EE執行環境。 ,開發Java EE 7應用程式,20200712
23, 適合對象  系統管理者 維護工程師   , 安裝Oracle Solaris 11 使用IPS 升級 Oracle Solaris 11 管理套裝軟體 管理SMF 服務 作業系統開關機 使用ZFS管理資料儲存 管理Oracle Solaris zone 管理實體網路 建立及管理使用者帳號 控制系統及檔案的存取 管理程序 監控作業系統 系統問題疑難排解  ,['2020/10/19 ~ 2020/10/23 每週一二三四五'],時數：30小時,"費用：NT$ 71,600",本課程介紹 Oracle Solaris 11 作業環境的基本管理，從安裝、升級、軟體套件、系統服務、儲存設備、網路、使用者等的管理工作，到簡單的問題疑難排解，是作為Oracle Solaris 11系統管理人員必須具備的技能。 ,Oracle Solaris 11 系統管理,20200712
24, 適合對象 想了解Python程式語言的程式開發人員  , Python語言及開發環境介紹 資料型別 集合 結構控制 函數 模組(Module) 物件導向程式設計 例外處理  ,"['2020/08/10 ~ 2020/08/13 每週一二三四', '2020/09/05 ~ 2020/09/13 每週六日', '2020/11/04 ~ 2020/11/13 每週三四五']",時數：28小時,"費用：NT$ 18,000",Python是一種物件導向、直譯式的電腦程式語言。它的語法簡單，能夠輕鬆完成很多常見的任務，也經常被當作腳本語言用於處理系統管理和網路應用程式的編寫。近年來使用Python作為應用程式的開發工具已經是非常普遍的現象，舉凡Google、Facebook等大型網站，都可以見到Python的蹤跡。本課程將教導您瞭解Python程式語言的結構、特性及開發方式，並瞭解如何利用Python處理一般的程式設計問題。 ,Python程式設計,20200712
25, 適合對象  欲參與考試，取得PMP®證照者 欲找到有效且系統化方法來執行專案之專案經理 欲提升個人層次，使自己具備「國際級專案管理技能」的專案經理 欲晉升為管理職務之專業技術人員 欲提升職場競爭力的上班族 欲承包高檔次標案之企業主與主管 欲跨足兩岸三地、國際舞台之專案經理   ,PMBOK® Guide-Sixth Edition+Agile Practice Guide 第一天(7小時)：  第一章 介紹+(模擬題練習) 第二章 專案運作的環境+(模擬題練習)  第二天(7小時)：  第三章 專案經理的角色+(模擬題練習) 第四章 專案整合管理+(模擬題練習)  第三天(7小時)：  第五章 專案範疇管理+(模擬題練習) 第六章 專案時程管理+(模擬題練習) 第七章 專案成本管理+(模擬題練習)  第四天(7小時)：  第八章 專案品質管理+(模擬題練習) 第九章 專案資源管理+(模擬題練習)  第十章 專案溝通管理+(模擬題練習)  第五天(7小時)：  第十一章 專案風險管理+(模擬題練習) 第十二章 專案採購管理+(模擬題練習) 第十三章 專案利害關係人管理+(模擬題練習)  第六天(7小時)：  敏捷實務指南Agile Practice Guide+(模擬題練習)  贈送PMP®總復習課程：14小時完整複習，讓您了解傳統瀑布式與近代敏捷式管理的全貌，以及PMP®考試報名解說和解題技巧等，大幅提升PMP®考照實力。 ※課程介紹影片   ,"['2020/08/05 ~ 2020/08/14 每週三四五', '2020/08/15 ~ 2020/10/17 每週六', '2020/09/06 ~ 2020/10/25 每週日']",時數：42小時,"費用：NT$ 32,000","培訓專案經理及企業主管人才，使其具備「專案自起始、規劃、執行、監控至結束」所需的管理知識與標準流程運作，並涵蓋[人]、[過程]、[企業環境]所需之專業知識，達到國際專案管理水準，俾能全面管理專案，有效達成專案目標。  完成報考PMP®所需之必備課程 大幅提升PMP®認證考試之實力 建立具有「國際水準」之專案管理技能 3-1  幫助個人，在高手如雲的職場中脫穎而出 3-2  幫助企業，在競爭激烈的商場中攻城掠地  【課程效益】  對個人的好處： 1-1  協助獲取PMP®認證 1-2  	洞悉傳統瀑布式與近代敏捷式管理，有關[人]、[過程]、[企業環境]所需具備之專業知識，大幅提升專案成功率 1-3  具備國際級專案管理技能，與國際接軌無障礙 1-4  大幅提升個人職場競爭力 對企業的好處： 2-1  提升企業整體專案成功率、降低專案成本、大幅提升企業整體競爭力 2-2  有助於承包政府，或大型、跨國、利潤高之專案(越來越多的政府標案，要求廠商需至少有一名員工具有PMP®證照，方能參與競標) 2-3  增強客戶之信心、擴大事業版圖  【教材與教學內容】  講師獨家編製中文教材(PMP®精華剖析+恆逸講師群補充資料)及繁體中文版PMBOK® Guide+敏捷實務指南(價值NT$1,350元) 解析學員實際案例+分組討論、國內外案例探討 課堂模擬測驗+試題解析 報名作業詳細說明+實際協助(報名申請表格內容修改) PMP®輔考系統：包含將近1000題的線上輔考擬真試題系統、學長姊筆記心得分享  【師資特色】  具備「跨國、跨領域、大型專案管理」實務經驗： 1-1  實務經驗，可避免講師「在空中盤旋」(進不了真實世界)、或是「畫虎畫皮」(不會畫骨) 1-2  	跨國專案，可以使講師對國際共通管理語言，有寬廣且深入的見解，對於企業越來越多的國際合作專案，提供直接貢獻 ，同時增強考PMP®實力 主持或參與之專案： 2-1  合作對象分布於：美國、瑞士、加拿大、義大利、捷克、英國、日本等技術先進國家 2-2  規模：大型為主、有超過16億元者 2-3  產業別：軟體資訊、電腦硬體、自動化、服務、航太、精密機械、國防科技等 資深講師在業界實務經驗：20~30年 學歷與證照：碩士(含)以上學位/PMP®證照/CPMT(Certified Project Management Trainer)證照/PMI-ACP證照 教學經驗：10年以上PMP®®認證班、大型企業、中小企業政府機關包班教學經驗  ",PMP®國際專案管理師培訓課程,20200712
26, 適合對象 1.Linux入門者、具備網路基本架構概念者 2.想要學習一般Linux使用操作技巧的IT人員  , RH124： Red Hat紅帽系統管理 I (35小時) RH134： Red Hat紅帽系統管理 II (28小時) RH294： Red Hat紅帽系統管理 III-Linux自動化(28小時)  ,"['2020/08/20 ~ 2020/11/19 每週二四', '2020/09/12 ~ 2020/11/08 每週六日', '2020/11/02 ~ 2021/01/27 每週一三']",時數：91小時,"費用：NT$ 68,000",雲端！絶對是當下最為熱門的話題之一，也是未來網路服務的主軸，這方向肯定是不會改變的，因Red hat特別將Red Hat Enterprise Linux 8.0打造為為雲端環境而生的作業系統，無論是一般企業IT的伺服器到Linux Containers、DevOps、AI及IoT 等應用，Red Hat Enterprise Linux 8.0都能夠符合您的需求，從單一伺服器的運算到雲端環境的集群運算，Red Hat Enterprise Linux 8.0可以滿足任何負載的運算需求。 RHEL 8的到來宣告了RHEL 8已進入了雲端作業系統的時代，身為IT技術人員怎麼可以在這場盛會上缺席呢?RHCE課程為美國Red Hat所力推之Linux專業認證課程，因此課程內容的安排絶對符合您實務上的需求，而且Red Hat還特別在課程的階段性上，設計了足以讓您證明自我技術能力的認證考試RHCSA及RHCE。 ,Red Hat紅帽RHCE認證課程,20200712
