id,audience,content,during,hours,price,purpose,title,today
27, 適合對象  系統管理員 系統整合人員 獨立軟體供應商(ISV)   , 構建資料模型 1-1    核心CRM物件的功能 1-2    聲明式客製的界限 1-3    程序化客製的用例 1-4    制定適當的資料模型 1-5    關聯類型和其對記錄存取、用戶介面及報表的影響 1-6    更改欄位類型的注意事項 1-7    資料架構生成器的注意事項 1-8    導入和導出資料的注意事項 1-9    外部物件的使用案例 製作用戶介面 2-1 客製化選項 2-2 自定義按鈕(Buttons)、鏈接(Links)和行動(Actions) 2-3 列表視圖(List Views) 2-4 記錄類型(Record Types) 2-5 UI設計的最佳實踐 構建業務邏輯 3-1 公式欄位(Formula Fields) 3-2 Roll-up Summary Fields 3-3 驗證規則 維護記錄和資料安全 4-1 限制和擴展物件、記錄和欄位之存取 4-2 制定適當的共享解決方案 業務流程自動化 5-1 流程生成器 5-2 工作流程和批准流程 5-3 業務流程自動化 部署應用程序 6-1 應用程序生命週期 6-2 Sandboxes 6-3 Change Sets 6-4 Unmanaged and Managed Packages 6-5 制定適當的部署計劃 設計高階用戶介面組件 7-1 創建報表 7-2 報表類型 7-3 儀表板 7-4 用於Salesforce1用戶介面的聲明式自定義 其他考量事項 8-1 AppExchange應用程序 8-2 聲明性工具的限制 8-3 程序化用例  ,['2020/10/26 ~ 2020/10/30 每週一二三四五'],時數：35小時,"費用：NT$ 66,000",通過此次培訓，您將具備一定的專業性，掌握Salesforce的一整套點擊式設定，不需編寫程式碼，即可發展有價值的應用程序和功能開發。建立應用程序部署、自動化工具、安全性、自定用戶介面等知識，進而自信地管理您的Salesforce。 ,Salesforce平台應用程序建構認證課程,20200712
28, 適合對象  在其環境中負責Veritas NetBackup安裝、運作或整合的系統或網路管理員、系統工程師、技術支援 人員和系統整合/開發人員 欲取得Veritas NetBackup專業認證資格者 欲充實本身資料保護技術能力的IT人員   , 介紹Veritas NetBackup 設定NetBackup儲存單元 建立備立政策及排程管理 執行檔案系統備份 執行檔案系統還原 設定磁碟儲存池(Disk Pool) 設定重複資料刪除(Deduplication) 設定磁帶儲存 管理磁帶儲存 備份虛擬機器 還原虛擬機器 管理備份複本及儲存生命週期政策 管理及保護NetBackup Catalog 最佳化檔案系統備份 收集記錄及偵錯資訊  ,"['2020/07/13 ~ 2020/07/17 每週一二三四五', '2020/09/14 ~ 2020/09/18 每週一二三四五']",時數：40小時,"費用：NT$ 75,000",本課程提供Veritas NetBackup 8.1版軟體功能的教學。課程設計旨在提供您使用Veritas Netbackup開發與建置儲存管理策略的基礎知識，包括：  ●   安裝、設定和操作Veritas NetBackup  ●   利用圖形化使用者介面(GUI)、指令列和Script語法管理Veritas NetBackup  ●   提供服務的保護和回復  ●   使用Activity Monitor和記錄檔以監控Veritas NetBackup的處理流程 ●   在您的備份環境中調校Veritas NetBackup，達到最佳效能 本課程包含了實用的實機練習，讓您測試您的全新技能，並將它們應用在您實際的工作環境當中 ,Veritas NetBackup資料保護專業人員認證課程,20200712
29, 適合對象  系統管理員 系統工程師   , Course Introduction Introduction to vSphere and the Software-Defined Data Center Virtual Machines vCenter Server Configuring and Managing Virtual Networks  Configuring and Managing Virtual Storage Virtual Machine Management  Resource Management and Monitoring  vSphere Clusters  vSphere Lifecycle Management  ,"['2020/08/03 ~ 2020/08/07 每週一二三四五', '2020/08/29 ~ 2020/09/12 每週六日', '2020/09/07 ~ 2020/09/11 每週一二三四五']",時數：35小時,"費用：NT$ 69,900","This five-day course features intensive hands-on training that focuses on installing, configuring, and managing VMware vSphere® 7, which includes VMware ESXi™ 7 and VMware vCenter Server® 7. This course prepares you to administer a vSphere infrastructure for an organization of any size. This course is the foundation for most of the other VMware technologies in the software-defined data center. ",VMware vSphere安裝及設定管理課程,20200712
30, 適合對象 1.對通訊產業有高度興趣，欲從事相關工作者 2.從事網路維運相關工作者 3.想要取得CCNA認證者  ,1.建立網路與區域網路的基礎概念 2.深入瞭解TCP/IP通訊協定（包含新一代IPv6通訊協定介紹） 3.認識封包的基本構造 4.網路設備的設定與IOS的管理 5.建置企業交換器虛擬區域網路(VLAN)環境 6.交換器擴展樹協定（STP與RSTP）運作原理與最佳化 7.乙太通道網路EtherChannel的運作概念與設定 8.路由運作基礎與設定 9.廣域網路WAN與虛擬私人網路VPN相關運作技術與設定介紹 10.網路設備安全性強化措施，ACL相關技術的實作與設定 11.Layer 3 Redundancy的相關技術介紹與HSRP的實作 12.淺談智能網路（SDN、SD-Access、SD-WAN、Cisco DNA Center）的發展與變革 13.常用網管協定的設定與自動化，例如：SNMP、Syslog、NTP、CDP/LLDP 14.網路服務效能（QoS）簡介 15.無線區域網路（WLAN）運作原理與基本設定 16.認識網路安全威脅與相關的防範因應措施 ,"['2020/07/30 ~ 2020/10/08 每週二四', '2020/08/15 ~ 2020/09/13 每週六日', '2020/08/31 ~ 2020/09/11 每週一二三四五']",時數：70小時,"費用：NT$ 66,000",Cisco為全球網路設備領導廠商，本課程將帶領您探索Cisco網路世界的重要入門課程，本課程將為您介紹Cisco骨幹網路的重要設備：路由器、交換器與無線網路的設定及管理等重要的網路技術理論與實作，您將可學習到路由器、交換器與無線網路的運作原理與常用組態設定，建立具備容錯能力的區域網路及廣域網路，並透過設備本身提供的安全機制，提升並強化網路的安全性，另外加上最熱門的下一代網際網路協定IPv6的介紹與實作，以奠定良好的網路基礎理論與實做能力。課程結束後您將有能力獨當一面，在中小型企業網路環境中安裝、維護Cisco路由器、交換器與無線網路，同時具備考取CCNA國際認證的能力。 ,CCNA認證-建置與管理Cisco解決方案,20200712
31, 適合對象 1.對通訊產業有高度興趣，欲從事相關工作者 2.從事網路維運相關工作者 3.想要取得CCNA認證者  ,1.建立網路與區域網路的基礎概念 2.深入瞭解TCP/IP通訊協定（包含新一代IPv6通訊協定介紹） 3.認識封包的基本構造 4.網路設備的設定與IOS的管理 5.建置企業交換器虛擬區域網路(VLAN)環境 6.交換器擴展樹協定（STP與RSTP）運作原理與最佳化 7.乙太通道網路EtherChannel的運作概念與設定 8.路由運作基礎與設定 9.廣域網路WAN與虛擬私人網路VPN相關運作技術與設定介紹 10.網路設備安全性強化措施，ACL相關技術的實作與設定 11.Layer 3 Redundancy的相關技術介紹與HSRP的實作 12.淺談智能網路（SDN、SD-Access、SD-WAN、Cisco DNA Center）的發展與變革 13.常用網管協定的設定與自動化，例如：SNMP、Syslog、NTP、CDP/LLDP 14.網路服務效能（QoS）簡介 15.無線區域網路（WLAN）運作原理與基本設定 16.認識網路安全威脅與相關的防範因應措施 ,"['2020/07/30 ~ 2020/10/08 每週二四', '2020/08/15 ~ 2020/09/13 每週六日', '2020/08/31 ~ 2020/09/11 每週一二三四五']",時數：70小時,"費用：NT$ 66,000",Cisco為全球網路設備領導廠商，本課程將帶領您探索Cisco網路世界的重要入門課程，本課程將為您介紹Cisco骨幹網路的重要設備：路由器、交換器與無線網路的設定及管理等重要的網路技術理論與實作，您將可學習到路由器、交換器與無線網路的運作原理與常用組態設定，建立具備容錯能力的區域網路及廣域網路，並透過設備本身提供的安全機制，提升並強化網路的安全性，另外加上最熱門的下一代網際網路協定IPv6的介紹與實作，以奠定良好的網路基礎理論與實做能力。課程結束後您將有能力獨當一面，在中小型企業網路環境中安裝、維護Cisco路由器、交換器與無線網路，同時具備考取CCNA國際認證的能力。 ,CCNA認證-建置與管理Cisco解決方案,20200712
32, 適合對象 想要建構雲端解決方法(如應用程式與服務等)的Azure開發人員  , 建立、設定、監控以及延展Azure App Service Web Apps 實作Azure functions 使用Azure Blob Storatge開發解決方案 開發使用儲存表的解決方法：使用Cosmos DB與關聯式資料庫，以及Blob儲存體來儲存資料 實作laaS解決方案，在Azure中建立虛擬機(VM)，建立與發行Container Images 實作安全性，了解如何實作身份驗證與授權 實作安全的雲端解決方案，使用KeyVault API管理金鑰與憑證 實作API管理 連接並使用Azure服務，開發一個Azure Service Logic應用，與整合協力廠商服務 使用Azure Event Grid、Azure Event Hubs開發以事件為基礎的解決方案 使用Azure Service Bus與Azure Queue Storage 開發以訊息為基礎的解決方案 監控與最佳化Azure解決方案 使用Azure Cache for Redis設計快取解決方案  ,['2020/09/21 ~ 2020/09/25 每週一二三四五'],時數：35小時,"費用：NT$ 30,000",這門課程主要是讓您了解如何開發Azure的基礎架構，牽涉到開發過程的全部階段，包括從解決方法設計到開發與部署，再到測試與維護。能夠利用Azure做為服務計算的解決方案，並能夠深入了解如何建置Azure平台中的虛擬機(VM)，使用WebJobs建立一個Azure App Service背景任務、實作身份驗證等功能，讓您精通使用Azure工具與技術(包括儲存、安全、計算與通信)來開發應用與服務。 ,Microsoft Azure開發解決方案,20200712
33, 適合對象  系統管理人員 軟體開發人員(主要以AWS開發DevOps，搭配營運目的為主；非一般軟體開發人員)   , System Operations on AWS概論 在雲端的網路與運算 在雲端的資料倉儲與儲存封裝 管理與監控雲端資源消耗狀態 雲端的設定與管理 建立雲端的高可用性組態 建立可重複利用的自動化部署  ,"['2020/09/28 ~ 2020/09/30 每週一二三', '2020/11/30 ~ 2020/12/02 每週一二三']",時數：21小時,"費用：NT$ 34,020",當雲端部署蔚為時尚時，有效率的管理相形之下就顯得非常重要。在AWS平台上能以自動化的方式部署：包括網路、系統部署等需求；其中不乏AWS高效率的管理工具，像是：AWS CloudFormation自動化堆疊AWS所需資源，並能夠讓部署行為自動化達成、Elastic Load Balancing、AWS的VPC建立VPN、AWS CloudWatch、Trusted Advisor來監控系統資源消耗狀況。課程進行中，主要以業界常見的設定AWS行為與部署AWS系統方法與技巧，能讓結業所學與業界無縫接軌。 本課程中您將學習：  使用標準的AWS基礎設施功能，例如：Amazon Virtual Private Cloud(VPC)、Amazon Elastic Compute Cloud(EC2)、Elastic Load Balancing，以及命令列中的Auto Scaling 使用AWS CloudFormation和其他自動化技術產生AWS資源堆疊，並以自動化和可重複的方式進行部署 使用AWS管理主控台，透過Amazon VPC從頭開始建構可正常運作的虛擬專用網路 使用命令列呼叫部署Amazon EC2執行個體，並故障診斷執行個體的最常見問題 監控Amazon EC2執行個體和其他AWS服務的執行狀況 在雲端中管理使用者身分、AWS權限和安全性 在AWS帳戶中使用Amazon CloudWatch、標籤和Trusted Advisor這類工具來管理資源消耗狀況 選取並實作最佳策略，以建立可重複使用的Amazon EC2執行個體 設定在負載平衡器後方啟動的一組Amazon EC2執行個體，讓系統根據需求擴展或縮小 編輯和故障診斷基本的AWS CloudFormation堆疊定義  ,Systems Operations on AWS,20200712
34, 適合對象 終端客戶公司的IT部門技術人員，以及負責交付遠端或虛擬桌面服務的人員  , Course Introduction Introduction to VMware Horizon View Connection Server VMware Horizon Pools and Desktops Horizon Client Options Creating Automated Pools of Full Virtual Machines Creating and Managing Linked-Clone Desktops Creating and Managing Instant-Clone Pools Creating RDS Desktop and Application Pools VMware Horizon 7 Authentication Managing VMware Horizon Security Profile Management Using User Environment Manager Using App Volumes to Provision and Manage Applications Command-Line Tools and Backup Options VMware Horizon Performance and Scalability  課程結束後，您將能夠達成以下目標：   Identify VMware Horizon components Install and configure View Connection Server Install and configure virtual desktops Configure and manage VMware Horizon® Client™ systems Configure and manage pools of physical and virtual machines Configure and manage automated pools of full virtual machines Configure and manage pools of linked-clone desktops Configure and manage automated pools of instant clones Configure and manage Remote Desktop Services(RDS) pools of desktops and applications Use Horizon Administrator to configure the VMware Horizon environment Configure secure access to virtual desktops Use VMware User Environment Manager™ to manage user personalization and application configurations Describe steps to deploy profile management Use VMware App Volumes™ to provision and manage applications Manage the performance and scalability of a VMware Horizon deployment  ,['2020/09/14 ~ 2020/09/18 每週一二三四五'],時數：35小時,"費用：NT$ 69,900","This five-day, hands-on course gives you the skills to deliver virtual desktops and applications through a single virtual desktop infrastructure platform. This course builds your skills in installing, configuring, and managing VMware Horizon® 7 through a combination of lecture and hands-on labs. You will learn how to configure and deploy pools of virtual machines, how to manage access and security of the machines, and how to provide a customized desktop environment to end users. ",VMware Horizon安裝及設定管理課程,20200712
35, 適合對象 已有C++程式設計基礎、Python程式設計基礎者  ,1.編譯安裝OpenCV 2.Python與OpenCV的連結 3.圖片處理與標記 4.影像的輸出輸入 5.二元影像處理 +5-1 影像與黑白灰階的處理 +5-2影像門檻值選取與轉換 +5-3 影像與輪廓選取 +5-4 影像的擴張與侵蝕運算 6.影像強化與濾鏡 +6-1 顏色值域的轉變 +6-2 亮度與色度的調整 +6-3 濾鏡與convolution運算 7.幾何轉換 8.影像分類與偵測 9.OpenVino框架 +9-1推論引擎 +9-2最佳化模型器 10.OpenCV與OpenVino 11.OpenCV與Yolo框架(V4) 12.OpenCV在Raspberry Pi和Jetson Nano上的處理 ,['2020/11/23 ~ 2020/11/27 每週一二三四五'],時數：35小時,"費用：NT$ 24,000","OpenCV是一個行之有年的影像處理函式庫，除了用在傳統的影像應用程式之外，更被用於各式的深度學習，特別是跟影像相關的議題上。本課程將使用OpenCV處理圖片影像，建立電腦視覺的基礎。在本課程中，當我們學習了openCV的基礎之後，會用在Intel的OpenVino toolkit， 它可以使用CPU作加速，以助於電腦視覺與神經網路的推論，達成一般電腦視覺應用如圖像標記等等任務。由於OpenVino內建許多有用的模型，可以在沒有深度學習建模能力前，依然可以和OpenCV合併使用並且看到結果。 本課程會以Python操作OpenCV方便使用為主, 但會使用Visual Studio 2019講授如何建置OpenCV並且作最佳化與調校參數, 所以需要有簡單的C/C++程式概念但不需要精通。 本課程所講授的YoLo演算法以YoLoV4的建置與使用為主。 ",AI電腦視覺OpenCV ,20200712
36, 適合對象  想要撰寫或設計網頁的設計師 想要了解用戶端開發技術的程式設計師 想要撰寫網站應用程式的程式設計師   , JavaScript簡介 JavaScript變數宣告方式、變數範圍、程式語法與基本型別 學習程式條件判斷與流程控制語法，了解各種運算子的使用特性，包括數學運算子、比較運算子等，以及JavaScript錯誤處理 撰寫Functions以重複使用程式碼，了解變數生命周期 建立與使用物件，學習陣列、Map、Set集合型別的使用，並了解JavaScript內建的物件，如String、Math等 物件導向基本觀念的建立，利用Prototype設計繼承與使用類別(Class) 使用JavaScript操作文件物件模型(DOM) 了解DOM事件註冊與處理，並了解如何應用Window、滑鼠、鍵盤、事件、表單等事件 了解JSON資料格式與透過AJAX與Promise設計非同步運作程式碼  ,"['2020/08/15 ~ 2020/08/23 每週六日', '2020/10/19 ~ 2020/11/11 每週一三', '2020/10/20 ~ 2020/10/23 每週二三四五']",時數：28小時,"費用：NT$ 22,000",由於網站應用程式的盛行，已經讓JavaScript變成世界最受歡迎的程式語言之一，也是最廣泛使用的用戶端開發語言。本課程適合欲學習純JavaScript程式語言的初學者，了解基本語法和程式架構，以及物件導向的功能，並能透過事件和瀏覽器上的DOM物件進行互動，上完課程後您將可撰寫在瀏覽器上執行的網頁程式。而ECMAScript 2015則是新一代的JavaScript語言標準，前身稱為ECMAScript 6，改善不嚴謹的JavaScript語法，並可運用來撰寫複雜的伺服端企業級應用程式，例如Node.JS。本課程將涵蓋ECMAScript 5與ECMAScript 2015+語法。 ,JavaScript程式設計,20200712
37, 適合對象 1.想學習Kotlin程式語言的應用程式開發人員 2.已經熟悉Java程式設計語言，想要學習使用Kotlin開發Android應用程式 3.想要從Java轉換到Kotlin的Android開發人員  ,  Kotlin程式設計語言基礎 設計函式 類別與物件 物件導向程式設計 列舉型態、常數與資料類別 泛型的設計與應用 介面與Lambda 高階函式的設計與應用 例外控制 Android應用程式專案介紹 規劃與建立使用者介面 活動元件與畫面設計 應用程式資源設計與使用 資料儲存與管理-Android JetPack Room API 建立應用程式服務元件 設計與使用廣播元件 建立系統通知服務 開發Firebase雲端應用程式  ,"['2020/08/31 ~ 2020/09/04 每週一二三四五', '2020/09/05 ~ 2020/09/19 每週六日', '2020/11/23 ~ 2020/11/27 每週一二三四五']",時數：35小時,"費用：NT$ 24,000",針對想要使用Kotlin開發Android應用程式設計的課程，適合初學或具備Java、Android程式設計經驗的學員，讓您快速學習Kotlin程式語言與開發Android應用程式。課程內容包含Kotlin與Android兩個部份，Kotlin程式設計語言部份有程式語言基礎、物件導向、Lambda、高階函式與例外控制，Android部份有應用程式專案架構介紹、設計資源、使用者介面、資料庫存取、廣播、通知與材料設計(Material Design)。完成課程後，您可以使用比Java更簡單、更有效率的Kotlin程式設計語言開發Android應用程式。 ,Kotlin程式設計-Android應用程式開發實務,20200712
38, 適合對象  維護MySQL伺服器的資料庫管理人員 設計或使用MySQL資料庫的資料庫開發人員與程式設計師 在工作上和MySQL伺服器或MySQL管理人員，有整合需求的系統管理人   , 課程介紹 效能調校概念說明 效能調校工具介紹 Performance Schema說明 伺服器調校 表格、檔案與日誌的調校 調校InnoDB儲存引擎 綱要設計最佳化 查詢監控 查詢最佳化 最佳化鎖定操作 複製調校 結論  ,['2020/10/19 ~ 2020/10/22 每週一二三四'],時數：24小時,"費用：NT$ 57,300",您需要管理MySQL應用中不斷增加的資料嗎？您想監控與診斷MySQL的疑難雜症並調校其最佳效能嗎？您想運用MySQL針對查詢與索引的效能改進來編寫查詢嗎？您想評估應用的架構，以得到最佳的設計、結構、快取、連線數以及其他影響效能的因素？那麼，此課程便是為您特別設計的。學成後您將具備使用工具監控、評估與調校MySQL效能所需的技能。 ,MySQL效能調校,20200712
39, 適合對象  想要深入了解及學習Power BI Desktop技術，以豐富資料分析報表者 數據及報表分析人員 想要學習數據分析及商業思考的使用者 熟悉SQL Server報表的建立者   , Power BI產品組合介紹 Power BI Desktop的下載與安裝 Power BI Desktop資料的匯入  A.  不同資料格式的匯入及合併 B.  彙整資料夾中多個相同格式的資料檔 C.  資料的清理、淨化、重塑及轉換 D.  資料表間的合併及附加處理 E.  查詢步驟的組態與調整 F.  查詢的複製、重複及參照 G.  資料錯誤的解決與處理  Power BI Desktop資料建模與管理  A.  組態及優化資料表間的關聯性 B.  強化資料模型中的計算邏輯與格式 C.  DAX語法說明及各類函數的使用 D.  利用DAX公式建立量值及資料行來豐富資料模型的處理 E.  Power BI Desktop範本檔的建立  Power BI Desktop互動式視覺化報表的建立  A.  建立豐富的互動式視覺化儀表板 B.  各項視覺化效果(表格、圖表、地圖......)的運用搭配介紹 C.  各項視覺化效果的細部組態 D.  視覺化效果的進階分析設定 E.  使用書籤串連數據解析及建立故事 F.  自訂視覺化效果的匯入及運用  發佈Power BI Desktop報表至Power BI服務  ,"['2020/08/03 ~ 2020/08/05 每週一二三', '2020/10/31 ~ 2020/11/07 每週六日', '2020/11/16 ~ 2020/11/18 每週一二三']",時數：21小時,"費用：NT$ 20,000",數據分析已成為目前企業決勝的關鍵，唯有對手上的資料數據了解的越多，我們也才能做的更多及更好。此時便需要一個簡單且有效的工具來協助我們了解手上的資料，可是，有這樣一個大數據分析工具存在嗎？這個問題的答案便是Power BI Desktop。 本課程將會介紹如何使用Power BI Desktop擷取各種資料來源中的數據進行清洗及重塑的工作，並將資料載入資料模型進行加值處理及計算，以提高資料儲存及檢索之效能，最後以視覺化的表格、圖表及地圖來反應資料內容與關聯性，使得企業主可快速得到心中疑問的解答，並從大數據中找到提升企業競爭力的商機。 ,Power BI Desktop數據分析實戰,20200712
40, 適合對象  SOC分析師(第一級和第二級) 網路和安全管理員 網路和安全工程師 網路防禦分析師，網路防禦技術人員 網路安全運營商以及處理網路安全操作的相關安全專業人員 網路安全分析師 任何想成為SOC分析師的人   ," 安全運營和管理(Security Operations and Management) 了解網路威脅，IoC和攻擊方法(Understanding Cyber Threats,IoCs, and Attack Methodology) 事件、事件和日誌記錄(Incidents, Events, and Logging) 危機事件偵測與安全訊息及事件管理的(SIEM) (Incident Detection with Security Information and Event Management(SIEM)) 利用威脅情資增強事件檢測能力(Enhanced Incident Detection with Threat Intelligence) 危機處理程序及應對方法(Incident Response)  ","['2020/08/12 ~ 2020/08/14 每週三四五', '2020/10/05 ~ 2020/10/07 每週一二三', '2020/12/07 ~ 2020/12/09 每週一二三']",時數：24小時,"費用：NT$ 39,000",隨著資訊安全領域的不斷擴展，SOC團隊需要提供高質量的IT安全服務，以主動檢測潛在的網路威脅與攻擊事件並快速回應。一個熟練的SOC分析師，可以作為第一線防禦者，提供警告給其他專業人員有關未來與現在的網路相關威脅。EC Council認證安全運營中心(SOC)分析師(CSA)是專為現有和即將加入安全運營中心(SOC)的一級和二級SOC分析師而設計的課程，目的在熟練地執行入門級和中級SOC任務操作。通過業界最有經驗的講師的指導，幫助學員了解SOC的日常任務及所需的技術與技能，為SOC團隊提供即時的支援。 ,EC-Council安全運營中心(SOC)分析師認證課程,20200712
41, 適合對象 1.資訊技術 (IT) 與信息安全 (IS) 相關經理人 2.風險管理相關經理人 3.公司治理、政策制定經理人 4.欲從事ISO 27001諮詢、顧問之人員 5.內部稽核員、電腦稽核員  ,1.資訊安全管理系統要求 (ISO/IEC 27001) 2.資訊安全管理系統要求 (ISO/IEC 27001)、管理系統稽核指引(ISO 19011)、驗證稽核要求 (ISO 17021) 3.管理系統稽核指引 (ISO 19011)-稽核過程演練-稽核準備與計畫  4.管理系統稽核指引 (ISO 19011)-稽核過程演練-稽核起始會議、執行現場稽核活動、稽核員角色與稽核技巧演練 5.管理系統稽核指引(ISO 19011)-稽核過程演練-稽核結束會議、稽核發現追蹤與認證 ,"['2020/07/13 ~ 2020/07/17 每週一二三四五', '2020/07/18 ~ 2020/07/26 每週五六日', '2020/08/10 ~ 2020/08/14 每週一二三四五']",時數：40小時,"費用：NT$ 50,000",此課程為「行政院國家資通安全會報」認可之資通安全專業證照 資訊(Information)可說是現今最為重要的無形資產，也是企業成功的基礎與命脈。如何確保客戶與公司內部資訊的安全性、完整性及可用性，是當今最重要的課題之一。資訊安全管理系統(Information Security Management Systems，ISMS)正是因應維護資訊安全而發展出來的重要標準。 本課程結合課堂簡報、小組討論、經驗交流、角色扮演、情境演練等，透過參與式 (participated learning) 學習，培養學員下列的能力： 1.了解資訊安全管理系統的目的、對組織帶來的益處、管理系統與相關標準、管理系統內部稽核、供應商稽核與第三方認證等要求。 2.了解管理系統稽核指引 ISO 19011 (與認證規範  ISO 17021) 中，稽核員的角色與能力的要求，包含稽核計畫、執行、報告、發現追蹤到完成稽核。 3.如何應用管理系統稽核指引 ISO 19011 (與認證規範  ISO 17021) 要求，進行資訊安全管理系統稽核 (包含稽核計畫、執行、報告、發現追蹤到完成稽核)，以確保組織的資訊安全管理系統的有效性，並符合國際標準 ISO 27001 (或 ISO 27002)要求。 ,ISO 27001：2013資訊安全管理系統主導稽核員訓練課程,20200712
42, 適合對象 1.資訊技術 (IT) 與信息安全 (IS) 相關經理人 2.風險管理相關經理人 3.公司治理、政策制定經理人 4.欲從事ISO 27001諮詢、顧問之人員 5.內部稽核員、電腦稽核員  ,1.資訊安全管理系統要求 (ISO/IEC 27001) 2.資訊安全管理系統要求 (ISO/IEC 27001)、管理系統稽核指引(ISO 19011)、驗證稽核要求 (ISO 17021) 3.管理系統稽核指引 (ISO 19011)-稽核過程演練-稽核準備與計畫  4.管理系統稽核指引 (ISO 19011)-稽核過程演練-稽核起始會議、執行現場稽核活動、稽核員角色與稽核技巧演練 5.管理系統稽核指引(ISO 19011)-稽核過程演練-稽核結束會議、稽核發現追蹤與認證 ,"['2020/07/13 ~ 2020/07/17 每週一二三四五', '2020/07/18 ~ 2020/07/26 每週五六日', '2020/08/10 ~ 2020/08/14 每週一二三四五']",時數：40小時,"費用：NT$ 50,000",此課程為「行政院國家資通安全會報」認可之資通安全專業證照 資訊(Information)可說是現今最為重要的無形資產，也是企業成功的基礎與命脈。如何確保客戶與公司內部資訊的安全性、完整性及可用性，是當今最重要的課題之一。資訊安全管理系統(Information Security Management Systems，ISMS)正是因應維護資訊安全而發展出來的重要標準。 本課程結合課堂簡報、小組討論、經驗交流、角色扮演、情境演練等，透過參與式 (participated learning) 學習，培養學員下列的能力： 1.了解資訊安全管理系統的目的、對組織帶來的益處、管理系統與相關標準、管理系統內部稽核、供應商稽核與第三方認證等要求。 2.了解管理系統稽核指引 ISO 19011 (與認證規範  ISO 17021) 中，稽核員的角色與能力的要求，包含稽核計畫、執行、報告、發現追蹤到完成稽核。 3.如何應用管理系統稽核指引 ISO 19011 (與認證規範  ISO 17021) 要求，進行資訊安全管理系統稽核 (包含稽核計畫、執行、報告、發現追蹤到完成稽核)，以確保組織的資訊安全管理系統的有效性，並符合國際標準 ISO 27001 (或 ISO 27002)要求。 ,ISO 27001：2013資訊安全管理系統主導稽核員訓練課程,20200712
43, 適合對象 欲學習專業網站建置與編輯應用者  ,1.網站定義與基本操作  1-1網頁檔案基本規則 1-2 定義網站 1-3 檔案基本操作 1-4 網頁文字資料 1-5 空白字元 1-6 清單 1-7 頁面屬性 1-8 插入影像 1-9 滑鼠互動影像 1-10 文字與影像排版 2.網頁影像與Photoshop快速整合     2-1 網頁影像格式 2-2 旋轉與更改影像尺寸 2-3 影像裁切 2-4 去背圖編輯應用 2-5 網頁GIF動畫 2-6 網頁替換影像按鈕 3.表格與網頁頁面內容編排    3-1插入表格 3-2表格屬性設定與表格外觀 3-3 表格與網頁頁面尺寸 3-4 隱形表格應用—頁面版面分欄編排 3-5 表格編排- 縮排應用 3-6 表格編排- 項目符號應用 3-7 表格編排應用-首頁編排 3-8 表格編排應用-內頁編排 4.連結設定完成網站   4-1文字與圖片連結設定 4-2 連結文字屬性設定 4-3 影像地圖連結 4-4 錨點連結    5.Photoshop進階影像切割與網頁版面設計整合 5-1 使用分割建立影像切片 5-2 使用切片工具建立影像切片 5-3 影像切割與背景圖應用 5-4 網站設計版面切割與完成網站 5-5 版面切割與iframe應用 6.互動控制與行為效果 6-1 用AP元素(div)跨出網站編輯限制 6-2 加入JavaScript行為 6-3 套用彈出訊息行為 6-4 套用調換影像行為 6-5 套用拖曳AP元素(div)行為 6-6 套用顯示隱藏AP元素(div)行為 6-7 整合AP元素控制-互動產品說明 6-8 jQuery效果 6-9 覆蓋版面廣告的效果應用  CSS基礎 7-1 如何開始設定CSS 7-2 CSS設定文字屬性 7-3 CSS設定背景圖 7-4 類別選取器控制頁面內容設定 7-5 CSS基礎圖文編排  *附錄 / 申請免費網站空間與上傳發佈網站 ,"['2020/08/01 ~ 2020/08/09 每週六日', '2020/09/07 ~ 2020/09/10 每週一二三四五', '2020/10/19 ~ 2020/11/11 每週一三']",時數：24小時,"費用：NT$ 8,400",本課程將學習如何從網頁的基礎內容編輯開始，進行HTML檔案格式的編排與設計，了解網頁格式的特殊性，以及如何完成網站架構規劃，使用免費的網頁空間完成網站架設，對於之前從沒有學過網頁設計的人來說，這一門課程可以讓您學到最實用的網頁設計技巧，並為進階的CSS排版，及HTML5等新技術打好基礎。 學會了網頁的完整內容編輯並有能力完成網站後，最需要進一步學習的專業即是網頁進階版面整合編排技巧，包括與Photoshop設計的版型切割整合完成網站，內頁框等進階頁面編排方法，再加上基礎JavaScript效果與基礎AP元素(div)應用，讓您的網站開始有互動功能，包括以滑鼠開關顯示隱藏頁面內容、拖曳頁面內容等，加上以實際完整網站建置範例，讓您即學即用，開心完成專業網站設計的第一步。 最後本課程也將讓您開始接觸下一階段的網頁專業，即是CSS的使用，先輕鬆跟CSS第一類接觸，嘗試開始使用CSS，做好學習CSS排版的準備。 ,Dreamweaver專業網頁編輯應用,20200712
